Thu Jan  8 23:07:17 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=92
Thu Jan  8 23:07:17 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:17 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:17 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:18 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:18 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:18 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:18 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=55
Thu Jan  8 23:07:18 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=55
Thu Jan  8 23:07:18 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=55
Thu Jan  8 23:07:18 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:18 2026 | 10.17.192.107 | NORMAL | Confidence=0.01 | Bytes=138
Thu Jan  8 23:07:18 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:18 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:18 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:18 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:18 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:18 2026 | 10.17.192.107 | NORMAL | Confidence=0.01 | Bytes=125
Thu Jan  8 23:07:18 2026 | 10.17.192.107 | NORMAL | Confidence=0.01 | Bytes=121
Thu Jan  8 23:07:18 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:18 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:18 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:18 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:18 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:18 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:18 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:19 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:19 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
